Date,SBER.ME,VTBR.ME,TCSG.ME
2020-09-10,191.84524536132807,566.3287963867188,1829.0999755859373
2020-09-11,190.9032440185547,567.6133422851562,1810.7030029296875
2020-09-14,196.05392456054688,573.2332763671875,1831.8994140625
2020-09-15,199.8391571044922,579.816650390625,1907.886962890625
2020-09-16,199.80458068847656,575.6417846679688,1962.278076171875
2020-09-17,200.0638427734375,573.2332763671875,1973.476318359375
2020-09-18,198.71568298339844,569.7007446289062,1998.0721435546875
2020-09-21,194.78353881835935,558.6214599609375,1940.28173828125
2020-09-22,196.79714965820312,551.7169799804688,1991.0733642578125
2020-09-23,197.142822265625,552.0380859375,2096.05615234375
2020-09-24,197.38479614257807,549.468994140625,2030.8668212890625
2020-09-25,197.09962463378903,548.3450317382812,2033.8662109375
2020-09-28,197.5662841796875,553.8043823242188,2067.060791015625
2020-09-29,194.3255157470703,554.7677612304688,2064.661376953125
2020-09-30,197.6094970703125,555.0889282226562,2053.6630859375
2020-10-01,197.00454711914065,549.468994140625,2011.469970703125
2020-10-02,196.2608337402344,-4.846677780151367,2010.0703125
2020-10-05,196.53384399414065,-4.836637496948242,2004.671142578125
2020-10-06,199.65940856933597,-4.872496128082275,1991.0733642578125
2020-10-07,198.06837463378903,-4.770657062530518,1956.87890625
2020-10-08,195.7901153564453,-4.789303779602051,1938.681884765625
2020-10-09,194.3026428222656,-4.769222736358643,1991.6732177734373
2020-10-12,194.04844665527344,-4.760616779327393,1887.89013671875
2020-10-13,193.1258544921875,-4.730494976043701,1846.697021484375
2020-10-14,195.2817230224609,-4.760616779327393,1907.6871337890625
2020-10-15,195.2817230224609,-4.760616779327393,1907.6871337890625
2020-10-16,195.2817230224609,-4.760616779327393,1907.6871337890625
2020-10-19,191.62896728515625,-4.568413257598877,1767.110107421875
2020-10-20,196.86334228515625,-4.85671854019165,1689.7227783203125
2020-10-21,197.9836578369141,-4.793606758117676,1734.115478515625
2020-10-22,197.01397705078125,-4.972900867462158,1783.7073974609375
2020-10-23,201.23159790039065,-4.988678455352783,1817.3018798828125
2020-10-26,199.46170043945312,-4.896880149841309,1874.0926513671875
2020-10-27,195.7241973876953,-4.803647041320801,1992.2730712890625
2020-10-28,194.3402862548828,-4.650171279907227,1917.08544921875
2020-10-29,192.68338012695312,-4.697504997253418,1901.887939453125
2020-10-30,189.3130340576172,-4.684596061706543,1885.8905029296875
2020-11-02,192.1373443603516,-4.698939800262451,1964.077880859375
2020-11-03,198.17193603515625,-4.721889019012451,2015.66943359375
2020-11-05,204.5830993652344,-4.813687801361084,2109.853759765625
2020-11-06,204.3477478027344,-4.820859909057617,2160.045654296875
2020-11-09,216.32278442382807,-4.916960716247559,2142.448486328125
2020-11-10,222.91282653808597,-4.967163562774658,2152.64697265625
2020-11-11,230.3219146728516,-4.934173583984375,2291.02392578125
2020-11-12,230.01126098632807,-5.189488410949707,2239.632568359375
2020-11-13,226.9327545166016,-5.249731063842773,2323.81884765625
2020-11-16,233.0332489013672,-5.331489086151123,2278.226318359375
2020-11-17,231.02798461914065,-5.199528694152832,2294.62353515625
2020-11-18,230.3878173828125,-5.195225238800049,2327.6181640625
2020-11-19,225.0498962402344,-5.155063629150391,2260.8291015625
2020-11-20,223.9484100341797,-5.22247838973999,2268.227783203125
2020-11-23,224.7298126220703,-5.218175411224365,2208.03759765625
2020-11-24,231.7058258056641,-5.266943454742432,2190.04052734375
2020-11-25,235.697509765625,-5.258337020874023,2300.62255859375
2020-11-26,236.1682281494141,-5.31571102142334,2237.47607421875
2020-11-27,236.34710693359372,-5.423287868499756,2288.473388671875
2020-11-30,235.3585968017578,-5.332923412322998,2354.26953125
2020-12-01,244.2645568847656,-5.3974690437316895,2372.86865234375
2020-12-02,248.7834625244141,-5.437631130218506,2416.666259765625
2020-12-03,248.26565551757807,-5.3902974128723145,2364.46923828125
2020-12-04,253.62242126464844,-5.439065456390381,2442.2646484375
2020-12-07,259.0356750488281,-5.4017720222473145,2376.868408203125
2020-12-08,259.4216613769531,-5.368782043457031,2341.0703125
2020-12-09,261.7375793457031,-5.3673481941223145,2477.2626953125
2020-12-10,264.4300842285156,-5.459146022796631,2412.866455078125
2020-12-11,266.83074951171875,-5.429025173187256,2261.6748046875
2020-12-14,263.0179443359375,-5.439065456390381,2307.872314453125
2020-12-15,260.96563720703125,-5.417550086975098,2384.66796875
2020-12-16,261.90704345703125,-5.473489761352539,2429.865478515625
2020-12-17,261.83172607421875,-5.473489761352539,2450.8642578125
2020-12-18,254.46969604492188,-5.474924087524414,2454.6640625
2020-12-21,244.8482360839844,-5.327186107635498,2330.870849609375
2020-12-22,247.474853515625,-5.360176086425781,2378.468505859375
2020-12-23,253.31175231933597,-5.454843044281006,2361.869140625
2020-12-24,253.10464477539065,-5.420419216156006,2357.869384765625
2020-12-25,254.84629821777344,-5.456277847290039,2336.2705078125
2020-12-28,258.45196533203125,-5.453409194946289,2360.66943359375
2020-12-29,256.5785217285156,-5.426156044006348,2379.8681640625
2020-12-30,254.8086395263672,-5.407509803771973,2369.86865234375
2021-01-04,258.5932006835937,-5.464883804321289,2499.0615234375
2021-01-05,257.5011291503906,-5.499308109283447,2439.465087890625
2021-01-06,257.8871154785156,-5.515086174011231,2453.064208984375
2021-01-08,257.8871154785156,-5.515086174011231,2453.064208984375
2021-01-11,271.65087890625,-5.677167892456055,2947.836669921875
2021-01-12,271.4343566894531,-5.751754760742188,2890.43994140625
2021-01-13,267.00018310546875,-5.691511631011963,2853.241943359375
2021-01-14,267.5462341308594,-5.720198631286621,3020.03271484375
2021-01-15,260.6549377441406,-5.701551914215088,3260.619384765625
2021-01-18,263.413330078125,-5.602581977844238,3359.2138671875
2021-01-19,260.44781494140625,-5.543773174285889,3216.82177734375
2021-01-20,262.2459716796875,-5.556682586669922,3106.827880859375
2021-01-21,258.9226989746094,-5.439065456390381,3009.63330078125
2021-01-22,252.21026611328125,-5.3630452156066895,3023.032470703125
2021-01-25,248.10562133789065,-5.38312578201294,3059.630615234375
2021-01-26,252.2479248046875,-5.396035194396973,3033.43212890625
2021-01-27,251.08056640625,-5.334358215332031,3018.03271484375
2021-01-28,249.89434814453125,-5.317145347595215,3067.630126953125
2021-01-29,243.39845275878903,-5.259771347045898,3125.226806640625
2021-02-01,246.91940307617188,-5.274115085601807,3213.02197265625
2021-02-02,251.12762451171875,-5.354438781738281,3205.822509765625
2021-02-03,246.5616607666016,-5.281286239624023,3225.8212890625
2021-02-04,252.6244964599609,-5.345832347869873,3179.823974609375
2021-02-05,255.3828887939453,-5.433328151702881,3226.621337890625
2021-02-08,259.2616271972656,-5.479227066040039,3350.814453125
2021-02-09,252.22911071777344,-5.413247108459473,3474.8076171875
2021-02-10,250.88284301757807,-5.370216369628906,3545.20361328125
2021-02-11,249.61192321777344,-5.400338172912598,3507.005859375
2021-02-12,249.38595581054688,-5.37165117263794,3531.6044921875
2021-02-15,255.03456115722656,-5.467752933502197,3558.403076171875
2021-02-16,254.88394165039065,-5.421853065490723,3746.79248046875
2021-02-17,253.1328887939453,-5.373085021972656,3872.185546875
2021-02-18,251.87136840820312,-5.28989315032959,3867.185791015625
2021-02-19,255.92893981933597,-5.345832347869873,4040.37646484375
2021-02-22,257.0115966796875,-5.351570129394531,4147.17041015625
2021-02-24,255.0439910888672,-5.344398021697998,3743.192626953125
2021-02-25,258.6590881347656,-5.404641151428223,3943.781494140625
2021-02-26,254.29083251953125,-5.311408042907715,3827.588134765625
2021-03-01,258.0754089355469,-5.364479064941406,3884.784912109375
2021-03-02,262.6601867675781,-5.3802571296691895,3809.989013671875
2021-03-03,262.7166748046875,-5.3788228034973145,3832.387939453125
2021-03-04,263.949951171875,-5.398903846740723,3798.989501953125
2021-03-05,258.8567810058594,-5.351570129394531,3820.388427734375
2021-03-09,268.2617492675781,-5.493570804595947,3715.794189453125
2021-03-10,265.4656677246094,-5.479227066040039,3741.192626953125
2021-03-11,268.98663330078125,-5.476358890533447,3934.18212890625
2021-03-12,268.92071533203125,-5.477793216705322,4309.76123046875
2021-03-15,274.2962951660156,-5.507914543151856,4279.36328125
2021-03-16,276.1415405273437,-5.57389497756958,4490.3515625
2021-03-17,264.91961669921875,-5.467752933502197,4439.75390625
2021-03-18,266.567138671875,-5.479227066040039,4359.55859375
2021-03-19,267.6497802734375,-5.414681434631348,4282.7626953125
2021-03-22,272.272216796875,-5.479227066040039,4422.7548828125
2021-03-23,266.3788757324219,-5.459146022796631,4322.7607421875
2021-03-24,270.15399169921875,-5.474924087524414,4335.15966796875
2021-03-25,268.8548278808594,-5.426156044006348,4318.2001953125
2021-03-26,272.06512451171875,-5.483530044555664,4294.0
2021-03-29,275.8873291015625,-5.545207977294922,4340.7998046875
2021-03-30,276.2639465332031,-5.701551914215088,4511.0
2021-03-31,274.22100830078125,-6.100302219390869,4406.0
2021-04-01,272.4605407714844,-6.106039524078369,4530.60009765625
2021-04-02,274.7481994628906,-6.143332958221436,4720.2001953125
2021-04-05,271.9992370605469,-6.349879741668701,4734.60009765625
2021-04-06,265.5409851074219,-6.210747241973877,4728.0
2021-04-07,265.8516845703125,-6.299676895141602,4545.2001953125
2021-04-08,267.2261657714844,-6.33696985244751,4554.2001953125
2021-04-09,263.98760986328125,-6.248040199279785,4536.0
